name,description
Terraforming Mars,"Nos anos 2400, a humanidade começa a terraformar o planeta Marte. Grandes corporações, patrocinadas pelo Governo Mundial na Terra, iniciam grandes projetos para aumentar a temperatura, o nível de oxigênio e a cobertura oceânica até que o ambiente seja habitável. Em Terraforming Mars, você joga com uma dessas corporações e trabalha em conjunto no processo de terraformação, mas compete para obter pontos de vitória que são concedidos não apenas por sua contribuição para a terraformação, mas também pelo avanço da infraestrutura humana em todo o sistema solar e fazendo outras coisas louváveis; Os jogadores adquirem cartas de projeto únicas (de mais de duzentas diferentes) comprando-as para a mão. Os projetos (cartas) podem representar qualquer coisa, desde introduzir vida vegetal ou animais, lançar asteróides na superfície, construir cidades, minerar as luas de Júpiter e estabelecer indústrias de gases de efeito estufa para aquecer a atmosfera. As cartas podem lhe dar bônus imediatos, além de aumentar sua produção de diferentes recursos. Muitas cartas também têm requisitos e se tornam jogáveis ​​quando a temperatura, o oxigênio ou a cobertura do oceano aumentam o suficiente. Comprar cartões é caro, então há um equilíbrio entre comprar cartões (3 megacréditos por cartão) e realmente jogá-los (o que pode custar entre 0 e 41 megacréditos, dependendo do projeto). Projetos padrão estão sempre disponíveis para complementar seus cartões. Sua renda básica, assim como sua pontuação básica, é baseada na sua Classificação do Terraform (começando em 20), que aumenta cada vez que você aumenta um dos três parâmetros globais. No entanto, sua renda é complementada com sua produção e você também obtém VPs de muitas outras fontes. Cada jogador mantém o controle de sua produção e recursos em seus tabuleiros de jogador, e o jogo usa seis tipos de recursos: MegaCredits, Steel, Titanium, Plants, Energy e Heat. No tabuleiro do jogo, você compete pelos melhores lugares para suas peças de cidade, peças de oceano e peças de vegetação. Você também compete por diferentes marcos e prêmios que valem muitos VPs. Cada rodada é chamada de geração (adivinhe por quê) e consiste nas seguintes fases: A ordem dos jogadores muda no sentido horário. revezem-se fazendo 1-2 ações a partir destas opções: jogar uma carta, reivindicar um marco, financiar um prêmio, usar um projeto padrão, converter plantas em telhas de vegetação (e aumentar o oxigênio), converter calor em aumento de temperatura e usar a ação de uma carta em jogo. O turno continua ao redor da mesa (às vezes várias voltas) até que todos os jogadores tenham passado. 4) Fase de produção: Os jogadores obtêm recursos de acordo com sua classificação de terraform e parâmetros de produção. Quando os três parâmetros globais (temperatura, oxigênio, oceano) atingirem seu objetivo, a terraformação estará completa e o jogo terminará após essa geração. Conte sua Classificação Terraform e outros VPs para determinar a corporação vencedora!"
Agricola,"Descrição de BoardgameNews Em Agricola, você é um fazendeiro em uma cabana de madeira com sua esposa e pouco mais. Em um turno, você pode realizar apenas duas ações, uma para você e outra para o cônjuge, de todas as possibilidades que você encontrará em uma fazenda: coletar argila, madeira ou pedra; construção de cercas; e assim por diante. Você pode pensar em ter filhos para conseguir mais trabalho, mas primeiro você precisa expandir sua casa. E o que você vai alimentar todos os pequenos rugrats? O jogo suporta vários níveis de complexidade, principalmente através do uso (ou não uso) de dois de seus principais tipos de cartas, Melhorias Menores e Ocupações. Na versão para iniciantes (chamada Family Variant na versão americana), esses cartões não são usados. Para jogos avançados, o lançamento nos EUA inclui três níveis de ambos os tipos de cartas; Básico (E-deck), Interativo (I-deck) e Complexo (K-deck), e o livro de regras incentiva os jogadores a experimentar os vários decks e suas misturas. Também existem decks de pós-venda, como o Z-Deck e o L-Deck. Agricola é um jogo baseado em turnos.  Há 14 rodadas de jogo ocorrendo em 6 etapas, com uma colheita no final de cada etapa (após as rodadas 4, 7, 9, 11, 13 e 14). Cada jogador começa com duas fichas de jogo (agricultor e cônjuge) e, portanto, pode levar dois turnos, ou ações, por rodada. Existem várias opções e, à medida que o jogo avança, você terá mais e mais: a primeira coisa em uma rodada, uma nova carta de ação é virada. Problema: cada ação pode ser realizada por apenas um jogador a cada rodada , então é importante fazer algumas coisas com alta preferência. Cada jogador também começa com uma mão de 7 cartas de Ocupação (de mais de 160 no total) e 7 cartas de Melhoria Menor (de mais de 140 no total) que ele/ela pode usar durante o jogo se eles se encaixam em sua estratégia. Falando nisso, existem inúmeras estratégias, algumas dependendo da sua mão de cartas. Às vezes é uma boa escolha manter o rumo, e às vezes é melhor reagir às ações de seus oponentes.
"
Scythe,"É um momento de agitação na Europa dos anos 1920. As cinzas da primeira grande guerra ainda escurecem a neve. A cidade-estado capitalista conhecida simplesmente como  A Fábrica&rdquo;, que alimentou a guerra com mechs fortemente blindados, fechou suas portas, chamando a atenção de vários países próximos. Scythe é um jogo de construção de motores ambientado em um período de história alternativa da década de 1920. É uma época de agricultura e guerra, corações partidos e engrenagens enferrujadas, inovação e valor. Em Scythe, cada jogador representa um personagem de uma das cinco facções da Europa Oriental que estão tentando ganhar sua fortuna e reivindicar a participação de sua facção nas terras ao redor da misteriosa Fábrica. Os jogadores conquistam território, recrutam novos recrutas, colhem recursos, ganham aldeões, constroem estruturas e ativam mechs monstruosos. Cada jogador começa o jogo com recursos diferentes (poder, moedas, perspicácia de combate e popularidade), um local de partida diferente e um objetivo oculto. As posições iniciais são especialmente calibradas para contribuir com a singularidade de cada facção e a natureza assimétrica do jogo (cada facção sempre começa no mesmo lugar). Scythe dá aos jogadores controle quase completo sobre seu destino. Além da carta de objetivo oculto individual de cada jogador, os únicos elementos de sorte ou variabilidade são o  encontro de cartas que os jogadores irão comprar à medida que interagem com os cidadãos de terras recém-exploradas. Cada carta de encontro oferece ao jogador várias opções, permitindo-lhe mitigar a sorte do sorteio através de sua seleção. O combate também é impulsionado por escolhas, não por sorte ou aleatoriedade. O Scythe usa um mecanismo de seleção de ação simplificado (sem rodadas ou fases) para manter a jogabilidade em ritmo acelerado e reduzir o tempo de inatividade entre os turnos. Embora haja muitos conflitos diretos para os jogadores que o procuram, não há eliminação de jogadores. Cada parte da Scythe tem um aspecto de construção de motores. Os jogadores podem atualizar as ações para se tornarem mais eficientes, construir estruturas que melhoram sua posição no mapa, recrutar novos recrutas para aprimorar as habilidades dos personagens, ativar mechs para impedir que os oponentes invadam e expandir suas fronteiras para colher maiores tipos e quantidades de recursos. Esses aspectos de construção do motor criam uma sensação de impulso e progresso ao longo do jogo. A ordem em que os jogadores melhoram seu mecanismo aumenta a sensação única de cada jogo, mesmo ao jogar uma facção várias vezes.
"
Wingspan,"Wingspan é um jogo de tabuleiro competitivo, de peso médio, baseado em cartas e de construção de motor da Stonemaier Games. Ele foi projetado por Elizabeth Hargrave e apresenta mais de 170 pássaros ilustrados por Beth Sobel, Natalia Rojas e Ana Maria Martinez. Vocês são entusiastas de pássaros pesquisadores, observadores de pássaros, ornitólogos e colecionadores que buscam descobrir e atrair os melhores pássaros para sua rede de reservas de vida selvagem. Cada pássaro estende uma cadeia de combinações poderosas em um de seus habitats (ações). Esses habitats se concentram em vários aspectos-chave do crescimento:   Ganhe fichas de comida por meio de dados personalizados em uma torre de dados de alimentador de pássaros  Coloque ovos usando miniaturas de ovos em uma variedade de cores  Retire centenas de cartas de pássaros únicas e jogue-as  O vencedor é o jogador com mais pontos após 4 rodadas. Se você gosta de Terraforming Mars e Gizmos, achamos que este jogo vai decolar na sua mesa.  descrição da editora A partir da 7ª impressão, a caixa básica do jogo inclui Wingspan: Swift-Start Promo Pack."
Gloomhaven,"Gloomhaven é um jogo de combate tático inspirado na Europa em um mundo persistente de motivos inconstantes. Os jogadores assumirão o papel de um aventureiro errante com seu próprio conjunto especial de habilidades e suas próprias razões para viajar para este canto escuro do mundo. Os jogadores devem trabalhar juntos por necessidade para limpar masmorras ameaçadoras e ruínas esquecidas. No processo, eles aprimorarão suas habilidades com experiência e saque, descobrirão novos locais para explorar e saquear e expandirão uma história cada vez mais ramificada alimentada pelas decisões que tomam. Este é um jogo com um mundo persistente e em mudança que é idealmente jogado ao longo de muitas sessões de jogo. Após um cenário, os jogadores tomarão decisões sobre o que fazer, o que determinará como a história continuará, como uma espécie de  Escolha sua própria aventura livro. Jogar em um cenário é um caso cooperativo onde os jogadores lutarão contra monstros automatizados usando um sistema de cartas inovador para determinar a ordem do jogo e o que um jogador faz em seu turno. A cada turno, um jogador escolhe duas cartas para jogar de sua mão. O número na carta do topo determina sua iniciativa para a rodada. Cada carta também tem um poder superior e inferior, e quando é a vez de um jogador na ordem de iniciativa, ele determina se deve usar o poder superior de uma carta e o poder inferior da outra, ou vice-versa. Os jogadores devem ter cuidado, porém, porque com o tempo eles perderão permanentemente as cartas de suas mãos. Se eles demorarem muito para limpar uma masmorra, eles podem acabar exaustos e serem forçados a recuar."
Robinson Crusoe: Adventures on the Cursed Island,"Robinson Crusoe: Adventures on the Cursed Island é um jogo criado por Ignacy Trzewiczek, o autor de Stronghold. Desta vez, Trzewiczek leva os jogadores a uma ilha deserta, onde farão o papel de sobreviventes de um naufrágio confrontados por uma aventura extraordinária. Eles enfrentarão os desafios de construir um abrigo, encontrar comida, lutar contra animais selvagens e se proteger das mudanças climáticas. Construir muros ao redor de suas casas, domesticar animais, construir armas e ferramentas com o que encontram e muito mais os aguardam na ilha. Os jogadores decidem em que direção o jogo se desenrolará e após várias semanas de trabalho duro no jogo   como será seu assentamento. Eles conseguirão descobrir o segredo da ilha nesse meio tempo? Eles encontrarão um tesouro pirata ou uma vila abandonada? Eles descobrirão uma cidade subterrânea ou um templo amaldiçoado no fundo de um vulcão? As respostas para essas perguntas estão em centenas de cartas de eventos e centenas de cartas de objetos e estruturas que podem ser usadas durante o jogo... Robinson Crusoe: Adventures on the Cursed Island é um jogo épico de Portal. Você vai construir um abrigo, paliçada, armas, você vai criar ferramentas como machados, facas, sacos, você vai fazer tudo que puder para  para sobreviver. Você terá que encontrar comida, lutar contra animais selvagens, proteger-se das mudanças climáticas  Assuma o papel de um dos quatro personagens da tripulação do navio (cozinheiro, carpinteiro, explorador ou soldado) e enfrente a aventura. Use suas habilidades de determinação para ajudar seus colegas de equipe, discutir com eles seu plano e colocá-lo em prática. Debata, discuta e trabalhe no melhor plano que todos podem fazer. Procure tesouros. Descubra mistérios. Siga as metas de seis cenários diferentes e envolventes. Comece construindo uma grande pilha de madeira e incendiando-a para pedir ajuda e, em seguida, comece novas aventuras. Torne-se um exorcista na ilha amaldiçoada. Torne-se um caçador de tesouros na Ilha do Vulcão. Torne-se uma equipe de resgate para uma jovem que está presa na ilha do rock  Deixe a aventura viver!"
Viticulture Essential Edition,"Na Viticultura, os jogadores se encontram no papel de pessoas na Toscana rústica e pré-moderna que herdaram parcos vinhedos. Eles têm alguns lotes de terra, um velho canteiro de obras, uma pequena adega e três trabalhadores. Cada um deles tem o sonho de ser o primeiro a chamar sua vinícola de um verdadeiro sucesso. Os jogadores estão na posição de determinar como querem alocar seus trabalhadores ao longo do ano. Cada estação é diferente em um vinhedo, então os trabalhadores têm tarefas diferentes das quais podem cuidar no verão e no inverno. Há competição nessas tarefas e, muitas vezes, o primeiro trabalhador a chegar ao trabalho tem uma vantagem sobre os trabalhadores subsequentes. Felizmente para os proprietários de vinhedos, as pessoas adoram visitar vinícolas, e acontece que muitos desses visitantes estão dispostos a ajudar em torno do vinhedo quando visitam, desde que você designe um trabalhador para cuidar deles. Suas visitas (na forma de cartões) são breves, mas podem ser muito úteis. Usando esses trabalhadores e visitantes, os proprietários de vinhedos podem expandir seus vinhedos construindo estruturas, plantando videiras e atendendo pedidos de vinho, trabalhando com o objetivo de administrar a vinícola mais bem-sucedida da Toscana. Viticulture Essential Edition inclui o jogo base de Viticulture e alguns dos módulos mais populares da expansão original da Tuscany, incluindo Mamas   Papas, Campos (anteriormente conhecidos como Propriedades), Visitantes expandidos e revisados ​​e cartas de Automa para uma variante solo, juntamente com algumas pequenas mudanças nas regras."
Arkham Horror: The Card Game,"Algo maligno se agita em Arkham, e só você pode detê-lo. Desfocando as linhas tradicionais entre role-playing e experiências de jogo de cartas, Arkham Horror: The Card Game é um jogo de cartas vivo de mistério, monstros e loucura de Lovecraft! No jogo, você e seu amigo (ou até três amigos com dois conjuntos básicos) se tornam personagens na pacata cidade de Arkham, na Nova Inglaterra. Você tem seus talentos, claro, mas também tem suas falhas. Talvez você tenha se envolvido demais com os escritos do Necronomicon, e suas palavras continuam a persegui-lo. Talvez você se sinta compelido a encobrir quaisquer sinais de males sobrenaturais, dificultando suas próprias investigações para proteger a confiança silenciosa da população maior. Talvez você fique marcado por seus encontros com um culto macabro. Não importa o que o compele, não importa o que o assombre, você encontrará seus pontos fortes e fracos refletidos em seu baralho de cartas personalizado, e esses cartões serão seus recursos enquanto você trabalha com seus amigos para desvendar os mistérios mais aterrorizantes do mundo. Cada uma de suas aventuras em Arkham Horror LCG leva você a um mistério mais profundo. Você encontrará cultistas e rituais sujos. Você encontrará casas assombradas e criaturas estranhas. E você pode encontrar sinais dos Antigos lutando contra as barreiras do nosso mundo... O modo básico de jogo em Arkham LCG não é a aventura, mas a campanha. Você pode ficar marcado por suas aventuras, sua sanidade pode estar tensa e você pode alterar a paisagem de Arkham, queimando prédios no chão. Todas as suas escolhas e ações têm consequências que vão muito além da resolução imediata do cenário em questão  e suas ações podem lhe render uma experiência valiosa com a qual você pode se preparar melhor para as aventuras que ainda estão à sua frente."
Spirit Island,"Nos confins mais distantes do mundo, a magia ainda existe, encarnada pelos espíritos da terra, do céu e de todas as coisas naturais. À medida que as grandes potências da Europa estendem cada vez mais seus impérios coloniais, elas inevitavelmente reivindicarão um lugar onde os espíritos ainda detêm o poder - e quando o fizerem, a própria terra lutará ao lado dos ilhéus que vivem lá. Spirit Island é um jogo cooperativo complexo e temático sobre defender sua ilha natal dos invasores colonizadores. Os jogadores são diferentes espíritos da terra, cada um com seus próprios poderes elementais únicos. A cada turno, os jogadores escolhem simultaneamente qual de suas cartas de poder jogar, pagando energia para fazê-lo. Usar combinações de cartas de poder que correspondam às afinidades elementares de um espírito pode conceder efeitos de bônus grátis. Poderes mais rápidos entram em vigor imediatamente, antes que os Invasores se espalhem e destruam, mas outras magias são mais lentas, exigindo premeditação e planejamento para serem usadas com eficácia. Na fase do Espírito, os espíritos ganham energia e escolhem como / se querem crescer: recuperar cartas de poder usadas, buscar novos poderes ou espalhar presença em novas áreas da ilha. Os Invasores se expandem pelo mapa da ilha de maneira semiprevisível. A cada turno eles exploram algumas terras (porções da ilha); no turno seguinte, eles constroem naquelas terras, formando assentamentos e cidades. Na virada depois disso, eles devastam lá, trazendo pragas para a terra e atacando qualquer ilhéu nativo presente. Os ilhéus lutam contra os Invasores quando atacados, e dão aos espíritos alguma outra ajuda, mas nem sempre o fazem exatamente como você esperava. Alguns Poderes trabalham através dos ilhéus, ajudando-os (por exemplo) a expulsar os Invasores ou limpar a terra da praga. O jogo aumenta à medida que avança: os espíritos espalham sua presença para novas partes da ilha e buscam poderes novos e mais potentes, enquanto os invasores intensificam seus esforços de colonização. Cada turno representa 1-3 anos de história alternativa. No início do jogo, a vitória requer a destruição de todos os últimos assentamentos e cidades no tabuleiro - mas à medida que você assusta cada vez mais os Invasores, a vitória se torna mais fácil: eles fugirão mesmo que restem alguns assentamentos ou cidades. A derrota vem se algum espírito for destruído, se a ilha for invadida pela praga, ou se o deck do Invasor estiver esgotado antes de alcançar a vitória. O jogo inclui diferentes adversários para lutar (por exemplo: uma colônia de mineração sueca ou uma colônia britânica remota). Cada uma muda o jogo de maneiras diferentes e oferece um caminho diferente de aumentos de dificuldade para manter o jogo desafiador à medida que você ganha habilidade.
"
Sagrada,"Jogue dados e use as ferramentas do comércio em Sagrada para construir cuidadosamente sua obra-prima de vitral. Em mais detalhes, cada jogador constrói um vitral construindo uma grade de dados em seu tabuleiro de jogador. Cada tabuleiro tem algumas restrições sobre qual cor ou tonalidade (valor) do dado pode ser colocado lá. Dados do mesmo tom ou cor nunca podem ser colocados um ao lado do outro. Os dados são sorteados na ordem dos jogadores, com o jogador inicial girando a cada rodada, serpenteando de volta depois que o último jogador sorteia dois dados. A pontuação é variável por jogo com base na obtenção de vários padrões e variedades de posicionamento... bem como pontos de bônus para tons escuros de uma determinada cor de objetivo oculto. Ferramentas especiais podem ser usadas para ajudá-lo a quebrar as regras gastando fichas de habilidade; uma vez que uma ferramenta é usada, ela requer mais fichas de habilidade para os outros jogadores usá-las. O artesão de janela com maior pontuação vence!"
